District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
BHADOI,AURAI,10,6,0,1,8,0,0,3,59.97,570.34,0.643,YELLOW,False
BHADOI,BHADOHI,8,2,1,2,6,0,0,4,14.46,570.34,0.495,YELLOW,False
BHADOI,DEEGH,7,3,0,2,5,0,0,3,26.33,570.34,0.5,YELLOW,False
BHADOI,GYANPUR,5,3,0,1,1,0,0,1,66.96,570.34,0.494,YELLOW,False
BHADOI,SURIYAVAN,5,1,0,2,4,0,0,1,23.06,570.34,0.473,YELLOW,False
BIJNOR,AAKU(NEHTOR),3,1,0,2,2,0,0,1,20.89,570.34,0.661,YELLOW,False
BIJNOR,AFZALGRAH,7,0,3,3,3,0,1,4,5.11,570.34,0.621,ORANGE,True
BIJNOR,ALLHEPUR(DHAMPUR),5,1,2,0,3,0,0,2,52.53,570.34,0.701,ORANGE,True
BIJNOR,BIJNOR(NAGAR),2,0,2,0,0,0,0,1,-20.16,570.34,0.5,RED,True
BIJNOR,BURHANPUR(SEOHARA),1,0,0,1,1,0,0,0,-4.35,570.34,0.424,YELLOW,False
BIJNOR,DHAMPUR(NAGAR),1,0,0,0,1,0,0,0,252.46,570.34,1.0,YELLOW,False
BIJNOR,HALDAUR,3,0,1,2,1,0,0,2,2.96,570.34,0.663,ORANGE,True
BIJNOR,JALILPUR,1,0,1,0,0,0,0,1,-21.49,570.34,1.0,RED,True
BIJNOR,KIRATPUR,3,0,2,0,2,0,0,3,-32.82,570.34,0.726,RED,True
BIJNOR,KOTWALI,5,0,3,1,3,0,0,4,-27.68,570.34,0.706,RED,True
BIJNOR,MOHD.PUR DEVMAL,3,1,0,0,2,0,0,0,89.28,570.34,0.703,YELLOW,False
BIJNOR,NAJIBABAD,4,1,0,0,2,0,0,2,-31.18,570.34,0.618,RED,True
BIJNOR,NAJIBABAD(NAGAR),1,0,1,0,0,0,0,0,-22.34,570.34,0.0,RED,True
BUDAUN,AASAFPUR,1,0,0,1,1,0,0,0,31.25,570.34,0.552,YELLOW,False
BUDAUN,AMBIYAPUR,1,0,1,0,0,0,0,1,-17.54,570.34,0.5,RED,True
BUDAUN,BISAULI,4,0,3,1,3,0,0,3,-13.19,570.34,0.645,RED,True
BUDAUN,BUDAUN CITY,2,0,1,0,1,0,0,1,-25.12,570.34,0.5,RED,True
BUDAUN,DATAGANJ,2,2,0,0,1,0,0,0,14.17,570.34,1.0,GREEN,False
BUDAUN,DEHGANWAN,3,1,0,0,2,0,0,1,74.13,570.34,0.429,YELLOW,False
BUDAUN,JAGAT,5,0,0,1,1,0,0,1,17.27,570.34,0.513,YELLOW,False
BUDAUN,MIAUN,1,0,0,1,1,0,0,1,-7.14,570.34,0.5,ORANGE,True
BUDAUN,QADARCHOWK,5,3,0,1,3,0,1,0,78.46,570.34,0.54,YELLOW,False
