District,Block,Total_Declining_Schools,Most_Common_Reason
LUCKNOW,"NAGAR SHAITRA, LUCKNOW",7,Undetermined
LUCKNOW,SAROJNI NAGAR,3,Higher Education Transition Issue
MAHARAJGANJ,BRIJMAN GANJ,1,Higher Education Transition Issue
MAHARAJGANJ,DHANI,1,Higher Education Transition Issue
MAHARAJGANJ,GHUGHLI,1,Higher Education Transition Issue
MAHARAJGANJ,LAKSHMIPUR,1,Higher Education Transition Issue
MAHARAJGANJ,MAHRAJGANJ,1,Higher Education Transition Issue
MAHARAJGANJ,NICHLOUL,1,Higher Education Transition Issue
MAHARAJGANJ,PANIYARA,1,Migration/Population Shift
MAHARAJGANJ,PARTAWAL,2,Higher Education Transition Issue
MAHOBA,CHARKHARI URBAN,2,Undetermined
MAHOBA,JAITPUR,6,Higher Education Transition Issue
MAHOBA,KABRAI,5,Higher Education Transition Issue
MAHOBA,PANWARI,3,Higher Education Transition Issue
MAINPURI,BARNAHAL,1,Higher Education Transition Issue
MAINPURI,BEWAR,2,Social/Gender Barrier
MAINPURI,GHIROR,4,Higher Education Transition Issue
MAINPURI,KARHAL,2,Low Enrollment at Board Class Boundary
MAINPURI,MAINPURI,2,Undetermined
MAINPURI,MAINPURI-CITY,1,Undetermined
MATHURA,BALDEO,2,Higher Education Transition Issue
MATHURA,MANT,1,Higher Education Transition Issue
MATHURA,MATHURA,1,Undetermined
MATHURA,NOHJHEEL,1,Higher Education Transition Issue
MATHURA,RAYA,3,Higher Education Transition Issue
MAU,BADRAW,1,Higher Education Transition Issue
MAU,RATANPURA,1,Social/Gender Barrier
MEERUT,HASTINAPUR,2,Social/Gender Barrier
MEERUT,JANI,1,Social/Gender Barrier
MEERUT,KHARKHODA,3,Higher Education Transition Issue
MEERUT,MACHRA,1,Migration/Population Shift
MEERUT,MAWANA,1,Higher Education Transition Issue
MEERUT,MEERUT,1,Higher Education Transition Issue
MEERUT,MEERUT NAGAR,3,Undetermined
MEERUT,PARIKSHIT GARH,2,Higher Education Transition Issue
MEERUT,RAJPURA,1,Higher Education Transition Issue
MEERUT,ROHTA,1,Higher Education Transition Issue
MEERUT,SARDHANA,1,Higher Education Transition Issue
MEERUT,SARURPUR,1,Higher Education Transition Issue
MIRZAPUR,HALIA,3,Higher Education Transition Issue
MIRZAPUR,LALGANJ,1,Social/Gender Barrier
MIRZAPUR,MAJHAWA,2,Undetermined
MIRZAPUR,MARIHAN,2,Higher Education Transition Issue
MIRZAPUR,NAGAR,2,Higher Education Transition Issue
MIRZAPUR,NAGAR PALIKA,2,Undetermined
MIRZAPUR,NARAYANPUR,1,Undetermined
MIRZAPUR,PAHARI,2,Social/Gender Barrier
MORADABAD,BHAGATPUR TANDA,2,Social/Gender Barrier
MORADABAD,CHAJLET,3,Higher Education Transition Issue
MORADABAD,KUNDERKI,2,Higher Education Transition Issue
MORADABAD,MORADABAD,1,Higher Education Transition Issue
MORADABAD,MORADABAD CITY BOYS,1,Migration/Population Shift
MORADABAD,MUNDAPANDAY,1,Social/Gender Barrier
MORADABAD,THAKURDWARA,3,Migration/Population Shift
MUZAFFARNAGAR,BAGHRA,1,Higher Education Transition Issue
MUZAFFARNAGAR,BUDHANA,2,Economic/Child Labour
MUZAFFARNAGAR,CHARTHAWAL,1,Higher Education Transition Issue
MUZAFFARNAGAR,JANSATH,1,Social/Gender Barrier
MUZAFFARNAGAR,KHATAULI,2,Higher Education Transition Issue
