District,Block,Avg_Girls_Progression,Avg_C10_C11_pct,Collapsed_Enrollment_Schools,C1011_Gap_Schools,Strong_Enrollment_Schools,Block_Girls_Enrollment_Health
ETAWAH,CHAKARNAGAR,1300050.2,36.3,0,1,1,Strong
ETAWAH,ETAWAH NAGAR CHETRA,403.1,59.6,0,0,1,Strong
ETAWAH,JASWANT NAGAR,220382.5,53.2,0,0,0,Strong
ETAWAH,MAHEWA,0.0,0.0,0,0,0,Weak
ETAWAH,SAIFAI,174.3,34.3,0,0,1,Strong
ETAWAH,TAKHA,0.0,0.0,0,0,0,Weak
FAIZABAD,AMANIGANJ,833333.3,46.2,0,0,0,Strong
FAIZABAD,AYODHYA TOWN AREA,286.0,75.4,0,1,1,Strong
FAIZABAD,BIKAPUR,58.8,34.1,0,1,0,Moderate
FAIZABAD,MASAUDHA,553.3,96.7,0,0,0,Strong
FAIZABAD,MAWAI,900000.0,25.4,0,0,0,Strong
FAIZABAD,MAYA,499.5,19.0,0,0,0,Strong
FAIZABAD,MILKIPUR,550162.5,200026.5,0,0,0,Strong
FAIZABAD,PURA,850000.0,66.4,0,0,0,Strong
FAIZABAD,RUDAULI,40.1,27.8,0,0,0,Moderate
FAIZABAD,SOHAWAL,290.0,30.6,0,1,0,Strong
FAIZABAD,TARUN,1300000.0,166.6,0,0,1,Strong
FARRUKHABAD,KAMALGANJ,0.0,0.0,0,0,0,Weak
FARRUKHABAD,MOHAMDABAD,0.0,0.0,0,0,0,Weak
FARRUKHABAD,NAG. KSH.FAR.BAD,293.7,81.5,0,0,1,Strong
FARRUKHABAD,NAWABGANJ,270.0,46.7,0,1,0,Strong
FARRUKHABAD,RAJE PUR,469.2,65.7,0,0,0,Strong
FARRUKHABAD,SHAMSABAD,252.6,70.1,0,0,0,Strong
FATEHPUR,AIRAYAN,142.5,28.8,0,1,0,Strong
FATEHPUR,AMAULI,0.0,0.0,0,0,0,Weak
FATEHPUR,ASHOTHAR,0.0,0.0,0,0,0,Weak
FATEHPUR,BAHUA,319.9,48.7,0,0,1,Strong
FATEHPUR,BHITAURA,3033333.3,42.1,0,1,1,Strong
FATEHPUR,DEOMAI,0.0,0.0,0,0,0,Weak
FATEHPUR,DHATA,0.0,0.0,0,0,0,Weak
FATEHPUR,HASAWA,51.8,18.2,0,0,0,Moderate
FATEHPUR,HATHGAOM,44.4,19.0,0,1,0,Moderate
FATEHPUR,KHAJUHA,0.0,0.0,0,0,0,Weak
FATEHPUR,MALAWAN,1900000.0,18.4,0,0,0,Strong
FATEHPUR,NAGAR BINDKI,345.8,97.3,0,0,1,Strong
FATEHPUR,NAGAR FATEHPUR,220.6,47.8,0,0,1,Strong
FATEHPUR,TELIYANI,1825799.2,47.2,0,0,0,Strong
FATEHPUR,VIJAIPUR,41.8,17.4,0,1,0,Moderate
FIROZABAD,ARAWN,0.0,0.0,0,0,0,Weak
FIROZABAD,EKA,0.0,0.0,0,0,0,Weak
FIROZABAD,FIROZABAD,0.0,56.7,1,0,0,Weak
FIROZABAD,JASRANA,369.6,51.7,0,0,1,Strong
FIROZABAD,KHAIRGARH,0.0,0.0,0,0,0,Weak
FIROZABAD,MADANPUR,34.8,66.6,0,0,0,Moderate
FIROZABAD,NARKHI,0.0,0.0,0,0,0,Weak
FIROZABAD,SHIKOHABAD,280.0,70.3,0,0,0,Strong
FIROZABAD,TUNDLA,38.0,24.5,0,0,0,Moderate
GAUTAM BUDDHA NAGAR,DADRI,0.0,0.0,0,0,0,Weak
GAUTAM BUDDHA NAGAR,DANKAUR,360.0,86.1,0,0,0,Strong
GAUTAM BUDDHA NAGAR,VISRAKH,293.9,84.8,0,0,2,Strong
GHAZIABAD,BHOJPUR,233363.8,42.8,0,0,0,Strong
GHAZIABAD,GHAZIABAD (MUN.AREA),309.8,103.8,0,0,2,Strong
GHAZIABAD,LONI,2000000.0,206.7,0,0,0,Strong
GHAZIABAD,MURAD NAGAR,0.0,0.0,0,0,0,Weak
GHAZIABAD,RAZAPUR,0.0,0.0,0,0,0,Weak
GHAZIPUR,BHADAURA,358.2,149.8,0,0,0,Strong
GHAZIPUR,BHAWARCOL,0.0,0.0,0,0,0,Weak
GHAZIPUR,BIRNO,0.0,0.0,0,0,0,Weak
GHAZIPUR,DEOKALI,78.9,63.0,0,0,1,Strong
GHAZIPUR,GHAZIPUR SADAR,0.0,0.0,0,0,0,Weak
GHAZIPUR,KARANDA,0.0,0.0,0,0,0,Weak
GHAZIPUR,KASIMABAD,2800000.0,175.0,0,0,0,Strong
GHAZIPUR,MANIHARI,60.0,11.1,0,0,0,Moderate
GHAZIPUR,MOHAMMADABAD,216.7,78.6,0,0,0,Strong
GHAZIPUR,NAGAR CHHETRA,272.2,134.6,0,0,1,Strong
GHAZIPUR,REOTIPUR,0.0,0.0,0,0,0,Weak
GHAZIPUR,SADAT,116.6,59.0,0,0,1,Strong
GHAZIPUR,SAIDPUR,118.8,139.5,1,1,0,Moderate
GHAZIPUR,ZAKHANIA,0.0,0.0,0,0,0,Weak
GHAZIPUR,ZAMANIA,665.9,147.2,0,0,1,Strong
GONDA,BELSAR,0.0,0.0,0,0,0,Weak
GONDA,CHHAPIA,233.3,106.8,1,1,0,Moderate
GONDA,COLONELGANJ,0.0,0.0,0,0,0,Weak
GONDA,GONDA(MUN. CORP.),370.8,160.0,0,0,1,Strong
GONDA,HALDHARMAU,0.0,0.0,0,0,0,Weak
GONDA,ITIYATHOK,0.0,0.0,0,0,0,Weak
GONDA,JHANJHRI,0.0,0.0,0,0,0,Weak
GONDA,KATRA BAZAR,0.0,0.0,0,0,0,Weak
GONDA,MANKAPUR,0.0,0.0,0,0,0,Weak
GONDA,MUJEHNA,0.0,0.0,0,0,0,Weak
GONDA,NAWAB GANJ,0.0,0.0,0,0,0,Weak
GONDA,PANDRI KRIPAL,0.0,0.0,0,0,0,Weak
GONDA,PARASPUR,0.0,0.0,0,0,0,Weak
GONDA,RUPAIDEEH,0.0,0.0,0,0,0,Weak
GONDA,TARABGANJ,10.0,70.8,1,0,0,Weak
GORAKHPUR,BAANSGAON,238.5,86.8,0,0,1,Strong
GORAKHPUR,BADHALGANJ,0.0,0.0,0,0,0,Weak
GORAKHPUR,BELGHAT,0.0,0.0,0,0,0,Weak
GORAKHPUR,BHATHAT,0.0,0.0,0,0,0,Weak
GORAKHPUR,CAMPIARGANJ,151.0,56.2,0,1,0,Strong
GORAKHPUR,CHARGANWA,0.0,0.0,0,0,0,Weak
GORAKHPUR,GOLA,0.0,0.0,0,0,0,Weak
GORAKHPUR,KAUDIRAM,172.2,46.8,0,0,1,Strong
GORAKHPUR,KHAJNI,275.0,48.5,0,0,1,Strong
GORAKHPUR,KHORABAR,0.0,0.0,0,0,0,Weak
GORAKHPUR,NAGAR KSHETRA,432.4,124.2,0,0,1,Strong
GORAKHPUR,PIPRAICH,0.0,0.0,0,0,0,Weak
GORAKHPUR,PIPRAULI,0.0,0.0,0,0,0,Weak
GORAKHPUR,SAHJANWA,0.0,0.0,0,0,0,Weak
GORAKHPUR,SARDARNAGAR,500.0,132.2,0,0,1,Strong
HAMIRPUR (U.P.),GOHAND,700000.0,54.6,0,0,0,Strong
HAMIRPUR (U.P.),KURARA,174.6,60.3,0,0,0,Strong
HAMIRPUR (U.P.),MAUDHA,95.1,13.6,0,1,0,Strong
HAMIRPUR (U.P.),MUSKARA,197.0,51.2,0,1,1,Strong
HAMIRPUR (U.P.),NP HAMIRPUR,620.6,65.6,0,0,1,Strong
HAMIRPUR (U.P.),NP MAUDAHA,269.1,100.9,0,0,1,Strong
HAMIRPUR (U.P.),NP RATH,1277.6,167.6,0,0,1,Strong
HAMIRPUR (U.P.),RATH,111.1,36.0,0,0,0,Strong
HAMIRPUR (U.P.),SARILA,454.9,40.0,0,0,0,Strong
HAMIRPUR (U.P.),SUMERPUR,618.8,41.7,0,0,2,Strong
HAPUR (PANCHSHEEL NAGAR),DHAULANA,167.6,61.8,0,0,1,Strong
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,1033343.6,113.9,0,1,0,Strong
HAPUR (PANCHSHEEL NAGAR),HAPUR,975050.0,49.1,0,2,0,Strong
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,360060.0,16.7,0,2,0,Strong
HARDOI,AHIRORI,0.0,0.0,0,0,0,Weak
HARDOI,BAWAN,0.0,0.0,0,0,0,Weak
HARDOI,BEHANDAR,0.0,0.0,0,0,0,Weak
HARDOI,BHARAWAN,31.9,19.0,0,0,0,Moderate
HARDOI,BHARKHANI,103.7,15.9,0,1,0,Strong
