District,Block,High_Risk_Count,Medium_Risk_Count,Low_Risk_Count,Total_Schools,Risk_Density_pct,Block_Zone
GONDA,KATRA BAZAR,0,1,0,1,0.0,YELLOW
GONDA,MANKAPUR,0,1,1,2,0.0,YELLOW
GONDA,MUJEHNA,0,2,0,2,0.0,YELLOW
GONDA,NAWAB GANJ,0,1,0,1,0.0,YELLOW
GONDA,PANDRI KRIPAL,0,0,3,3,0.0,YELLOW
GONDA,PARASPUR,0,0,1,1,0.0,GREEN
GONDA,RUPAIDEEH,0,1,0,1,0.0,YELLOW
GONDA,TARABGANJ,0,2,0,2,0.0,ORANGE
GORAKHPUR,BAANSGAON,0,1,0,1,0.0,RED
GORAKHPUR,BADHALGANJ,0,0,1,1,0.0,YELLOW
GORAKHPUR,BELGHAT,1,0,1,2,50.0,YELLOW
GORAKHPUR,BHATHAT,0,0,1,1,0.0,YELLOW
GORAKHPUR,CAMPIARGANJ,0,2,2,4,0.0,YELLOW
GORAKHPUR,CHARGANWA,1,0,1,2,50.0,RED
GORAKHPUR,GOLA,0,0,1,1,0.0,YELLOW
GORAKHPUR,KAUDIRAM,0,0,2,2,0.0,YELLOW
GORAKHPUR,KHAJNI,1,1,0,2,50.0,ORANGE
GORAKHPUR,KHORABAR,0,0,1,1,0.0,YELLOW
GORAKHPUR,NAGAR KSHETRA,2,0,0,2,100.0,RED
GORAKHPUR,PIPRAICH,0,0,1,1,0.0,ORANGE
GORAKHPUR,PIPRAULI,1,0,0,1,99.9,RED
GORAKHPUR,SAHJANWA,1,1,0,2,50.0,ORANGE
GORAKHPUR,SARDARNAGAR,0,0,1,1,0.0,RED
HAMIRPUR (U.P.),GOHAND,0,2,0,2,0.0,GREEN
HAMIRPUR (U.P.),KURARA,0,1,3,4,0.0,YELLOW
HAMIRPUR (U.P.),MAUDHA,0,0,4,4,0.0,GREEN
HAMIRPUR (U.P.),MUSKARA,0,1,3,4,0.0,YELLOW
HAMIRPUR (U.P.),NP HAMIRPUR,1,0,1,2,50.0,RED
HAMIRPUR (U.P.),NP MAUDAHA,0,0,1,1,0.0,GREEN
HAMIRPUR (U.P.),NP RATH,1,0,0,1,99.9,RED
HAMIRPUR (U.P.),RATH,0,2,1,3,0.0,YELLOW
HAMIRPUR (U.P.),SARILA,0,4,1,5,0.0,YELLOW
HAMIRPUR (U.P.),SUMERPUR,1,1,3,5,20.0,YELLOW
HAPUR (PANCHSHEEL NAGAR),DHAULANA,0,0,2,2,0.0,YELLOW
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,1,2,0,3,33.3,RED
HAPUR (PANCHSHEEL NAGAR),HAPUR,1,0,3,4,25.0,YELLOW
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,1,2,2,5,20.0,YELLOW
HARDOI,AHIRORI,0,3,1,4,0.0,YELLOW
HARDOI,BAWAN,0,1,2,3,0.0,YELLOW
HARDOI,BEHANDAR,0,1,0,1,0.0,YELLOW
HARDOI,BHARAWAN,0,1,3,4,0.0,YELLOW
HARDOI,BHARKHANI,1,1,1,3,33.3,ORANGE
HARDOI,BILGRAM,1,2,0,3,33.3,ORANGE
HARDOI,HARIYAWAN,0,2,2,4,0.0,YELLOW
HARDOI,HARPALPUR,0,0,1,1,0.0,YELLOW
HARDOI,KACHAUNA,0,2,0,2,0.0,YELLOW
HARDOI,KOTHAWAN,0,2,0,2,0.0,YELLOW
HARDOI,MADHOGANJ,0,2,0,2,0.0,YELLOW
HARDOI,MALLAWA,1,2,0,3,33.3,ORANGE
