District,Block,Ghost_Schools,Micro_Schools,Very_Small_Schools,Critical_Closure_Risk,High_Closure_Risk
KANPUR NAGAR,BILHAUR,0,0,0,0,0
KANPUR NAGAR,CHAUBEPUR,0,0,0,0,1
KANPUR NAGAR,GHATAMPUR,0,0,0,0,0
KANPUR NAGAR,KAKWAN,0,0,0,0,0
KANPUR NAGAR,KALYANPUR,0,0,0,0,0
KANPUR NAGAR,PATARA,0,0,0,0,0
KANPUR NAGAR,PREMNAGAR,0,0,0,0,0
KANPUR NAGAR,SARSAUL,0,0,0,0,0
KANPUR NAGAR,SHASTRI NAGAR,0,0,0,0,0
KANPUR NAGAR,SHIVRAJPUR,0,0,0,0,0
KANSHIRAM NAGAR,AMAPUR,0,0,0,0,0
KANSHIRAM NAGAR,GANJ DUNDWARA,0,0,0,0,0
KANSHIRAM NAGAR,KASGANJ,0,0,0,0,0
KANSHIRAM NAGAR,KASGANJ (URBAN),0,0,0,0,0
KANSHIRAM NAGAR,PATIYALI,0,0,0,0,0
KANSHIRAM NAGAR,SAHAVAR,0,0,0,0,0
KANSHIRAM NAGAR,SORON,0,0,0,0,0
KAUSHAMBI,CHAYAL,0,0,1,0,0
KAUSHAMBI,KADA,0,0,0,0,0
KAUSHAMBI,KAUSHAMBI,0,0,0,0,0
KAUSHAMBI,MANJHANPUR,0,1,0,0,1
KAUSHAMBI,MURATGANJ,0,0,0,0,0
KAUSHAMBI,NEWADA,0,0,1,0,1
KAUSHAMBI,SARSAWAN,0,0,0,0,0
KAUSHAMBI,SIRATHU,0,0,3,0,2
KHERI,BANKEGANJ,0,0,0,0,0
KHERI,BEHJAM,0,0,0,0,0
KHERI,BIJUA,0,0,0,0,0
KHERI,DHAURAHARA,0,0,0,0,0
KHERI,ISANAGAR,0,0,0,0,0
KHERI,KUMBHI-GOLA,0,0,0,0,0
KHERI,LAKHIMPUR,0,0,0,0,0
KHERI,LMP,0,0,0,0,0
KHERI,MITAULI,0,0,0,0,0
KHERI,MOHAMMADI,0,0,0,0,0
KHERI,MOM,0,0,0,0,0
KHERI,NAKAHA,0,0,0,0,1
