District,Block,Cluster_Type,Total_Schools_In_Block,Declining_Schools,Growing_Schools,Recovery_Schools
GHAZIPUR,GHAZIPUR SADAR,Isolated Growth,1,0,1,0
GHAZIPUR,KARANDA,Mixed Block,2,0,0,1
GHAZIPUR,KASIMABAD,Mixed Block,1,0,0,1
GHAZIPUR,MANIHARI,Mixed Block,3,1,0,0
GHAZIPUR,MOHAMMADABAD,Mixed Block,1,0,0,1
GHAZIPUR,NAGAR CHHETRA,Mixed Block,2,0,1,0
GHAZIPUR,REOTIPUR,Isolated Growth,1,0,1,0
GHAZIPUR,SADAT,Mixed Block,2,0,0,2
GHAZIPUR,SAIDPUR,Recovery Cluster,4,0,0,3
GHAZIPUR,ZAKHANIA,Mixed Block,2,0,1,0
GHAZIPUR,ZAMANIA,Isolated Growth,1,0,1,0
GONDA,BELSAR,Mixed Block,3,0,1,0
GONDA,CHHAPIA,Mixed Block,2,0,1,1
GONDA,COLONELGANJ,Mixed Block,1,0,0,0
GONDA,GONDA(MUN. CORP.),Mixed Block,2,0,0,0
GONDA,HALDHARMAU,Mixed Block,1,0,0,0
GONDA,ITIYATHOK,Mixed Block,1,0,0,1
GONDA,JHANJHRI,Mixed Block,3,1,0,1
GONDA,KATRA BAZAR,Mixed Block,1,0,0,1
GONDA,MANKAPUR,Mixed Block,2,0,0,1
GONDA,MUJEHNA,Mixed Block,2,0,0,1
GONDA,NAWAB GANJ,Mixed Block,1,0,0,1
GONDA,PANDRI KRIPAL,Mixed Block,3,0,0,2
GONDA,PARASPUR,Isolated Growth,1,0,1,0
GONDA,RUPAIDEEH,Mixed Block,1,0,0,0
GONDA,TARABGANJ,Mixed Block,2,0,1,0
GORAKHPUR,BAANSGAON,Mixed Block,1,0,0,0
GORAKHPUR,BADHALGANJ,Mixed Block,1,0,0,1
GORAKHPUR,BELGHAT,Mixed Block,2,0,0,1
GORAKHPUR,BHATHAT,Mixed Block,1,0,0,1
