District,Block,Avg_Continuation_Ratio,Senior_Dropout_Schools,Senior_Collapse_Schools,Both_Growing_Schools
GORAKHPUR,BELGHAT,0.0,0,2,0
GORAKHPUR,BHATHAT,0.0,0,1,0
GORAKHPUR,CAMPIARGANJ,36.6,0,2,0
GORAKHPUR,CHARGANWA,0.0,0,2,0
GORAKHPUR,GOLA,0.0,0,1,0
GORAKHPUR,KAUDIRAM,37.4,0,1,0
GORAKHPUR,KHAJNI,47.2,0,1,0
GORAKHPUR,KHORABAR,0.0,0,1,0
GORAKHPUR,NAGAR KSHETRA,153.9,1,0,0
GORAKHPUR,PIPRAICH,0.0,0,1,0
GORAKHPUR,PIPRAULI,0.0,0,1,0
GORAKHPUR,SAHJANWA,0.0,0,2,0
GORAKHPUR,SARDARNAGAR,121.0,0,0,0
HAMIRPUR (U.P.),GOHAND,37.2,0,1,1
HAMIRPUR (U.P.),KURARA,35.5,0,2,2
HAMIRPUR (U.P.),MAUDHA,17.4,0,3,1
HAMIRPUR (U.P.),MUSKARA,43.6,0,2,2
HAMIRPUR (U.P.),NP HAMIRPUR,132.4,0,0,0
HAMIRPUR (U.P.),NP MAUDAHA,77.7,0,0,1
HAMIRPUR (U.P.),NP RATH,169.5,0,0,0
HAMIRPUR (U.P.),RATH,35.3,0,2,0
HAMIRPUR (U.P.),SARILA,29.6,0,4,0
HAMIRPUR (U.P.),SUMERPUR,35.1,0,3,1
HAPUR (PANCHSHEEL NAGAR),DHAULANA,40.2,0,1,0
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,70.9,0,1,0
HAPUR (PANCHSHEEL NAGAR),HAPUR,38.3,0,1,1
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,29.2,0,3,0
HARDOI,AHIRORI,0.0,0,4,0
HARDOI,BAWAN,0.0,0,3,0
HARDOI,BEHANDAR,0.0,0,1,0
HARDOI,BHARAWAN,13.8,0,3,1
HARDOI,BHARKHANI,27.0,0,2,0
HARDOI,BILGRAM,12.0,0,2,1
HARDOI,HARIYAWAN,0.0,0,4,0
HARDOI,HARPALPUR,0.0,0,1,0
HARDOI,KACHAUNA,0.0,0,2,0
HARDOI,KOTHAWAN,13.5,0,2,0
HARDOI,MADHOGANJ,0.0,0,2,0
HARDOI,MALLAWA,44.4,0,2,0
HARDOI,PIHANI,0.0,0,1,0
HARDOI,SANDI,0.0,0,3,0
HARDOI,SANDILA,0.0,0,1,0
HARDOI,SHAHABAD,0.0,0,3,0
HARDOI,SURSA,0.0,0,1,0
HARDOI,TANDIYAWA,32.8,0,3,1
HARDOI,TN.AR.  PIHANI,23.8,0,1,0
HARDOI,TN.AR. HARDOI,115.2,0,0,1
HARDOI,TN.AR. SANDILA,76.9,0,0,1
HARDOI,TONDARPUR,16.3,0,4,1
HATHRAS,HASAYAN,0.0,0,3,0
HATHRAS,HATHRAS,0.0,0,2,0
HATHRAS,MURSAN,25.4,0,1,1
HATHRAS,N.P. HATHRAS,42.8,0,0,0
HATHRAS,SADABAD,14.8,0,4,1
HATHRAS,SAHPAU,11.2,0,3,1
HATHRAS,SASNI,0.0,0,3,0
HATHRAS,SIKANDRA RAO,29.5,0,2,0
JALAUN,DAKOR,40.1,0,3,1
JALAUN,JALAUN,0.0,0,1,0
JALAUN,KADAURA,53.3,0,2,0
JALAUN,KONCH,0.0,0,1,0
JALAUN,KUTHAUND,0.0,0,2,0
JALAUN,MADHAUGADH,101.8,0,0,1
JALAUN,MAHEVA,35.2,0,3,0
JALAUN,NADIGAWN,32.8,0,1,1
JALAUN,RAMPURA,30.1,0,2,1
JALAUN,T. A. ORAI,116.1,0,0,0
JAUNPUR,BADLA PUR,0.0,0,2,0
JAUNPUR,BARSATHI,0.0,0,1,0
JAUNPUR,BUKSHA,0.0,0,1,0
JAUNPUR,DHARMAPUR,0.0,0,1,0
JAUNPUR,DOBHI,0.0,0,1,0
JAUNPUR,JALALPUR,0.0,0,1,0
JAUNPUR,JAUNPUR  [NAGAR],78.9,0,0,1
JAUNPUR,KARANJA KALA,0.0,0,2,0
JAUNPUR,KERAKAT,26.1,0,1,0
JAUNPUR,KHUTHAN,0.0,0,1,0
JAUNPUR,MACHHALI SHAHAR,40.4,0,1,1
JAUNPUR,MADIYAHUN,39.2,0,1,1
JAUNPUR,MAHARAJ GANJ,0.0,0,1,0
JAUNPUR,MUFTI GANJ,0.0,0,1,0
JAUNPUR,MUGRA BADSHAH PUR,0.0,0,2,0
JAUNPUR,RAM PUR,0.0,0,1,0
JAUNPUR,SHAH GANJ,4.6,0,3,0
JAUNPUR,SIKRARA,0.0,0,2,0
JAUNPUR,SIRKONI,25.0,0,2,1
JAUNPUR,SUITHA KALA,0.0,0,2,0
JAUNPUR,SUJAN GANJ,0.0,0,1,0
JHANSI,BABINA,33.8,0,5,0
JHANSI,BAMORE,0.0,0,3,0
JHANSI,BANGRA,65.8,0,2,1
JHANSI,BARAGAON,13.2,0,3,1
JHANSI,CHIRGAON,26.6,0,2,0
JHANSI,GURSARAI,42.1,0,2,0
JHANSI,JHANSI NAGARCHETRA,213.8,0,0,0
JHANSI,MAURANIPUR,0.0,0,3,0
JHANSI,MAURANIPUR  N.CHETRA,112.2,0,0,1
JHANSI,MOTH,98.2,0,1,1
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,35.9,0,1,2
JYOTIBA PHULE NAGAR (AMROHA),AMROHA CITY,75.6,0,0,1
