District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,Risk_Score,Risk_Level,Decline_flag,Severe_Decline_flag,Low_Continuity_flag,Wide_Enroll_Spread_flag,Low_Enrollment_flag,Volatile_flag,Girls_Decline_flag,Gender_Imbalance_flag,Weak_Continuity_flag,Small_School_flag
MUZAFFARNAGAR,SADAR,9020100607,GOVT HIGH SCHOOL RAI,47.0,30,-36.17,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
SAHARANPUR,DEOBAND,9010506007,GOVT.HIGH SCHOOL DIVALHEDI,48.0,36,-25.0,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,9061909008,RAJKIYA H.S. DYOTI,159.0,110,-30.82,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
KANNAUJ,TAL GRAM,9300304208,RAJKIYA H.S.S UMAEPUR TALGRAM,39.0,32,-17.95,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BIJNOR,NAJIBABAD,9031014203,RAJKIYA HIGH SCHOOL  JATTIWALA,101.0,30,-70.3,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
HARDOI,SANDI,9251310901,"GOVT. HIGH SCHOOL, SHIV SINGH PURWA",65.0,42,-35.38,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BIJNOR,KOTWALI,9030840102,PANDIT DEENDYAL UPADHAYA RAJKIYA MODEL INTER COLEGE BENIPUR KOPA,349.0,255,-26.93,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
KUSHINAGAR,KHADDA,9590306605,RAJKIYA U.M.V. SISWA GOPAL,45.0,33,-26.67,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
DEORIA,RUDRAPUR,9600701103,RAJKIYA U.M.V.GONAH SURTPURA,13.0,11,-15.38,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
SIDDHARTHNAGAR,BIRDPUR,9540204206,RAJKIYEE U.M.V NAGCHAURI,64.0,28,-56.25,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
LUCKNOW,BAKSHI KA TALAB,9270817204,RAJKIYA HIGH SCHOOL SONVA,211.0,122,-42.18,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
FATEHPUR,AIRAYAN,9421003603,RAJKIYE U.M.V. IJURA KHURD,75.0,40,-46.67,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
FATEHPUR,BAHUA,9420705004,RAJKIYE H.S.MAHNA,35.0,23,-34.29,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MAHOBA,PANWARI,9390409103,GOVT HIGH SCHOOL BIJRARI,42.0,22,-47.62,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
UNNAO,NAVABGANJ,9260805106,GOVT INTER COLLEGE CHAMRAULI,1022.0,691,-32.39,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
GORAKHPUR,BELGHAT,9581700303,RAJKIY H. SCHOOL LAKHUA PAKAD BELGHAT,42.0,30,-28.57,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MAINPURI,GHIROR,9180204402,GOVT HIGH SCHOOL NAGLA BHARA,65.0,48,-26.15,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
SIDDHARTHNAGAR,JOGIYA,9541102403,RAJKYEE U.MV. TARIYA BAZAR,224.0,101,-54.91,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
ETAH,JAITHARA,9170504504,GOVERNMENT HIGH SCHOOL LALPUR JAHANGIRABAD,30.0,22,-26.67,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MATHURA,RAYA,9140802703,GOVT HIGH SCHOOL BISAVALI,41.0,30,-26.83,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
SITAPUR,BISWAN,9240304103,RAJKIYA U.M.V. KYOTI BADULLAH,148.0,100,-32.43,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
ETAWAH,ETAWAH NAGAR CHETRA,9310903242,GOVT INTER COLLEGE ETAWAH,1481.0,984,-33.56,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
SITAPUR,BEHTA,9240210005,GOVT.Higher Secondary School JuaPurva,56.0,41,-26.79,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
FAIZABAD,AYODHYA TOWN AREA,9471501703,"RAJKIYA INTER COLLEGE, FAIZABAD",759.0,556,-26.75,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
LALITPUR,BAR,9370103803,GOVT HIGH SCHOOL VEER,186.0,107,-42.47,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
LALITPUR,BIRDHA,9370200708,GHS SATARVAS,68.0,48,-29.41,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
FIROZABAD,SHIKOHABAD,9160202503,GOVT. INTER COLLEGE NASIRPUR,491.0,337,-31.36,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
FIROZABAD,TUNDLA,9160300304,GOVT. HIGH SCHOOL DHIRPURA,70.0,35,-50.0,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MAHARAJGANJ,BRIJMAN GANJ,9571101211,GOVT HS SONBARSA,59.0,45,-23.73,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
SONBHADRA,CHOPAN,9700100110,Govt. H.S.S. SIDHAHAWA,193.0,118,-38.86,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,78.0,40,-48.72,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
FATEHPUR,NAGAR FATEHPUR,9421400627,RAJKIYE U.M.VIDAYALAYE ANDULI,31.0,15,-51.61,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
LALITPUR,BIRDHA,9370208804,GHS JAMUNDHANAKALAN,61.0,38,-37.7,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,329.0,202,-38.6,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
LALITPUR,JAKHORA,9370303610,GHS DAILWARA,382.0,225,-41.1,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
LUCKNOW,MOHAN LAL GANJ,9270519001,RAJKIYA HIGH SCHOOL KARORA,195.0,137,-29.74,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
LUCKNOW,MOHAN LAL GANJ,9270503803,GOVT. HIGH SCHOOL DHANUWASAND,375.0,257,-31.47,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,53.0,34,-35.85,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",66.0,41,-37.88,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
PRAYAGRAJ,MANDA,9451604004,RAJKIYA U.M.V. DIGHIYA,269.0,135,-49.81,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,425.0,199,-53.18,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
JAUNPUR,BADLA PUR,9641603920,GOVT.H.S. TIYARA,68.0,46,-32.35,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BULANDSHAHR,ARNIA,9110401004,BALJEET SINGH SMARAK PUBLIC SCHOOL P.S. SURJAWALI,,26,,7,HIGH RISK,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
