District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,YoY_Latest,Block_Zone,Girls_Ratio_Improving,Upper_Class_Growing,Bright_Spot_Flag,Potential_Score,Potential_Tag,Investment_Worthy
SAHARANPUR,DEOBAND,9010504805,GOVT. HIGH SCHOOL JAHKWALA,68,83,22.06,56.6,YELLOW,True,False,False,3,Medium Potential,True
SAHARANPUR,DEOBAND,9010505604,GOVT. INTER COLLEGE TAYYABPUR TAPPALALU PHULAS AKBARPUR,139,142,2.16,15.45,YELLOW,False,True,False,3,Medium Potential,True
SAHARANPUR,MUZAFFARABAD,9011212104,RAJKIYA HIGH SCHOOL TOTA TANDA,231,236,2.16,10.8,YELLOW,True,False,False,3,Medium Potential,True
SAHARANPUR,NAGAL,9011103706,GOVT. HIGH SCHOOL KUTUBPUR LABDOLA,96,132,37.5,29.41,YELLOW,True,False,False,3,Medium Potential,True
SAHARANPUR,NAGAL,9011106403,GOVT. HIGH SCHOOL SHIVPUR,31,35,12.9,25.0,YELLOW,True,False,False,3,Medium Potential,True
SAHARANPUR,NAGAL,9011101410,RAJKIYE INTER COLLEGE BANHERA KHAS,67,125,86.57,-31.69,YELLOW,True,True,False,3,Medium Potential,True
SAHARANPUR,PUNWARKA,9011001203,GOVT. HIGH SCHOOL SONA,101,123,21.78,11.82,YELLOW,True,False,False,3,Medium Potential,True
SAHARANPUR,PUNWARKA,9011009401,PDDUGICCHAURADEV,240,273,13.75,-6.51,YELLOW,True,True,False,3,Medium Potential,True
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,61,80,31.15,26.98,YELLOW,True,False,False,3,Medium Potential,True
SAHARANPUR,SADHOLI KADIM,9010406103,GOVT INTER COLLEGE HABIBPUR TAPOVAN,69,94,36.23,25.33,YELLOW,False,True,False,3,Medium Potential,True
SAHARANPUR,SADHOLI KADIM,9010401006,GOVT. HIGH SCHOOL KHERI MADHTI,113,169,49.56,10.46,YELLOW,True,False,False,3,Medium Potential,True
SAHARANPUR,SARSAVA,9010710108,GOVT. HIGH SCHOOL BUDDA KHEDA,92,109,18.48,6.86,YELLOW,True,False,False,3,Medium Potential,True
SAMBHAL (BHIM NAGAR),BEHJOI,9680410105,Pt deendayal govt ic rajpur,279,405,45.16,5.19,YELLOW,True,True,False,3,Medium Potential,True
SAMBHAL (BHIM NAGAR),JUNAVAI,9680700305,Pt deendayal govt ic nadrauli,215,272,26.51,2.64,GREEN,True,True,False,3,Medium Potential,True
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,61,81,32.79,8.0,YELLOW,True,False,False,3,Medium Potential,True
SANT KABIR NAGAR,BAGHAULI,9561613001,GOVT. INTER COLLEGE BANAULI SANT KABIR NAGAR,106,339,219.81,13.76,YELLOW,True,True,False,3,Medium Potential,True
SANT KABIR NAGAR,NATHNAGAR,9562007409,GOVT. UMV MAHULI,38,68,78.95,38.78,GREEN,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,BHAWALKHERA,9221306403,GOVT. INTER COLLAGE,319,415,30.09,23.51,YELLOW,True,True,False,3,Medium Potential,True
SHAHJAHANPUR,DADRAUL,9220108303,G.H.S. KAPER KATKA,42,83,97.62,45.61,YELLOW,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,JALALABAD,9220304005,RAJKIYE UCHTAR M.V. KHANDHAR,92,211,129.35,27.11,ORANGE,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,KALAN,9221002405,G.H.S.BARA KALAN,80,83,3.75,20.29,YELLOW,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,KALAN,9221002502,G.H.S.HATHINI NAGARIYA,17,34,100.0,100.0,YELLOW,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,KHUTAR,9220701807,RAJKIYE UCHTAR MADMAMIK MALIKA,119,144,21.01,7.46,YELLOW,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,MADNAPUR,9221701903,RAJKIYA UCHCHTAR MADHYAMIK VID KUDAIYA MADNAPUR SPN,84,95,13.1,26.67,YELLOW,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,MADNAPUR,9221713304,RAJKIYA UMV BARUA MADNAPUR SPN,232,237,2.16,15.05,YELLOW,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,PUWAYA,9221406910,G.H.S. NAHIL,121,138,14.05,17.95,YELLOW,True,False,False,3,Medium Potential,True
SHAHJAHANPUR,SINDHAULI,9220505207,Pandit Deen Dayal Upadhyay Rajkiya Model Inter College,541,810,49.72,25.19,ORANGE,True,True,False,3,Medium Potential,True
