District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
MIRZAPUR,NAGAR,9691406706,GOVT. HIGH SCHOOL JIGNAUREE,46.67,59.26,39.58,,34.78,65.52,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
CHITRAKOOT,MAU,9410305004,PT DEEN DAYAL UPADHYAY GOVT MODEL I C HARDI KALA CHITRAKOOT,46.67,80.56,15.38,150.0,16.28,14.89,91.3,68.0,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
MIRZAPUR,RAJGARH,9690603203,GOVT. U.M.V. TENDUA KALA,46.2,71.43,28.04,,26.42,73.08,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BAHRAICH,TAJWA PUR,9500703604,GOVT INTER COLLEGE RAMPURWA,46.13,36.32,61.04,82.69,30.52,45.45,53.55,48.98,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
HAMIRPUR (U.P.),MAUDHA,9380306803,GOVT HS RIVAN,45.95,35.09,57.41,,69.81,24.14,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
PRATAPGARH,KALAKANKER,9430604504,Pt Deendayal Upadhyay Govt Model Inter College Murassapur Kalakankar,45.78,52.0,36.36,-5.88,73.33,-71.43,360.0,1000.0,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
HARDOI,PIHANI,9250204504,GOVT. H.S.S. MANIKPUR,45.65,33.93,63.89,,56.86,31.71,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SITAPUR,PISAWAN,9241508502,RAJKIYA U.M.V. MOHARNIYA,45.39,27.62,97.22,,76.56,19.48,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BAREILLY,BHUTA,9200302904,PT DEENDYAL UPADHYAY RAJKIYA MODEL INTER COLLEGE BEBAL BASANTPUR BHUTA BAREILLY,45.39,43.2,48.67,5.13,10.98,28.57,123.26,91.67,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
SAMBHAL (BHIM NAGAR),BEHJOI,9680410105,Pt deendayal govt ic rajpur,45.16,43.83,47.01,25.71,33.71,0.0,230.0,93.18,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
BUDAUN,JAGAT,9190601915,"GOVT. HS SCHOOL,GURGAWN,JAGAT",44.86,35.59,56.25,,21.67,74.47,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
RAE BARELI,RAHI,9280103704, GOVT. HIGH SCHOOL SANAHI,44.76,36.96,50.85,,50.0,37.78,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BASTI,DUBAULIA,9551500106,GOVT GIRLS HR SEC MAHULANI,44.44,22.22,66.67,,120.69,-6.98,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
