District,Block,School_ID,School_Name,Total_2223,Total_2324,Total_2425,Total_2526,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag
SAHARANPUR,PUNWARKA,9011007604,"GOVT HIGH SCHOOL CHANDPUR, SRE",34,31,30,25,Micro School,Getting Smaller,4,Critical
SAHARANPUR,SADHOLI KADIM,9010409003,PDDUGICNAUGAVAN,23,16,14,24,Micro School,Fluctuating,3,High Risk
SANT KABIR NAGAR,PAULI,9561014503,GOVT. UMV GOVINDGUNJ,312,301,285,254,Medium School,Getting Smaller,3,High Risk
SHAHJAHANPUR,BANDA,9220610103,G.H.S CHILHAUTA BANDA,59,32,26,29,Very Small,Fluctuating,3,High Risk
SHAHJAHANPUR,JALALABAD,9220307603,G.H.S. CHAURASI,60,53,35,34,Very Small,Getting Smaller,4,Critical
SHRAWASTI,JAMUNHA,9510404906,RAJKIYA HIGH SCHOOL EMLIYA KARANPUR,57,50,41,44,Very Small,Fluctuating,3,High Risk
SIDDHARTHNAGAR,BIRDPUR,9540204206,RAJKIYEE U.M.V NAGCHAURI,64,45,52,28,Very Small,Fluctuating,3,High Risk
SIDDHARTHNAGAR,ITAVA,9540705206,RAJKEEY UMV KATHELA GRANT,157,117,96,84,Small School,Getting Smaller,3,High Risk
SIDDHARTHNAGAR,JOGIYA,9541102403,RAJKYEE U.MV. TARIYA BAZAR,224,199,123,101,Small School,Getting Smaller,3,High Risk
SITAPUR,BEHTA,9240210005,GOVT.Higher Secondary School JuaPurva,56,51,35,41,Very Small,Fluctuating,3,High Risk
SITAPUR,BISWAN,9240304103,RAJKIYA U.M.V. KYOTI BADULLAH,148,115,106,100,Small School,Getting Smaller,3,High Risk
SONBHADRA,CHOPAN,9700100110,Govt. H.S.S. SIDHAHAWA,193,174,128,118,Small School,Getting Smaller,3,High Risk
SULTANPUR,DHANPATGANJ,9490701806,GHS SARAIYA BHARTHI,156,135,120,113,Small School,Getting Smaller,3,High Risk
SULTANPUR,JAISINGHPUR,9491207604,GHS PEEDHI,127,98,95,93,Small School,Getting Smaller,3,High Risk
SULTANPUR,KURWAR,9491609205,GHS JUDUPUR,141,129,120,113,Small School,Getting Smaller,3,High Risk
UNNAO,HASANGANJ,9260704603,GOVT HIGH SCHOOL JAGDISH PUR UNNAO,29,28,37,38,Very Small,Fluctuating,3,High Risk
UNNAO,SUMERPUR,9261601206,GOVT HIGH SCHOOL BISHRAMAU,41,12,12,28,Very Small,Fluctuating,3,High Risk
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,9064100084,RAJKIYA MODAL INTER COLLEGE TUGHLAKABAD,0,63,34,7,Ghost School,Getting Smaller,4,Critical
BULANDSHAHR,ARNIA,9110401004,BALJEET SINGH SMARAK PUBLIC SCHOOL P.S. SURJAWALI,0,0,0,26,Very Small,Insufficient Data,3,High Risk
SAHARANPUR,MUZAFFARABAD,9011207504,RAJKIYE INTER COLLEGE BHAINSRAU,0,0,4,21,Micro School,Growing,3,High Risk
SAHARANPUR,MUZAFFARABAD,9011204801,RAJKIYE INTER COLLEGE KALUWALA JAHANPUR,0,0,0,7,Ghost School,Insufficient Data,3,High Risk
