District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
BIJNOR,BURHANPUR(SEOHARA),9030401803,RAJKIYA HIGH SCHOOL NARAVALI,69,36,39,66,True,2023-24,36,30,83.33,Strong Recovery,Strong
BIJNOR,MOHD.PUR DEVMAL,9030909303,RAJKIYA HIGH SCHOOL KAJIWALA,56,48,61,60,True,2023-24,48,12,25.0,Full Recovery,Strong
BUDAUN,AASAFPUR,9191505203,"GOVT. HS SCHOOL,KORERA",80,66,70,105,True,2023-24,66,39,59.09,Strong Recovery,Strong
BUDAUN,BISAULI,9191606505,"GOVT. HS SCHOOL,PAPGAOAN",54,48,71,80,True,2023-24,48,32,66.67,Strong Recovery,Strong
BUDAUN,DEHGANWAN,9191806301,"GOVT. HS SCHOOL,DAANPUR",34,57,50,74,True,2022-23,34,40,117.65,Full Recovery,Strong
BUDAUN,JAGAT,9190601811,"GOVT. HIGH SCHOOL, KHUNAK",121,111,116,138,True,2023-24,111,27,24.32,Strong Recovery,Strong
BUDAUN,JAGAT,9190601915,"GOVT. HS SCHOOL,GURGAWN,JAGAT",107,140,157,155,True,2022-23,107,48,44.86,Full Recovery,Strong
BUDAUN,JAGAT,9190600504,"GOVT. INTER COLLEGE, GABHIYAI",153,179,191,168,True,2022-23,153,15,9.8,Full Recovery,Weak
BUDAUN,MIAUN,9191004103,"GOVT. GIRLS HIGH SCHOOL, MANSA NAGLA",56,39,44,52,True,2023-24,39,13,33.33,Strong Recovery,Strong
BUDAUN,QADARCHOWK,9190102503,"GOVT. HIGH SCHOOL, KADER BARI",107,100,101,109,True,2023-24,100,9,9.0,Strong Recovery,Weak
BUDAUN,QADARCHOWK,9190104602,"GOVT. INTER COLLEGE,NIZAMPUR",311,363,353,388,True,2022-23,311,77,24.76,Full Recovery,Strong
BUDAUN,SALARPUR,9190405111,"GOVT. HS SCHOOL,CHAKOLAR,SALARPUR",63,80,92,91,True,2022-23,63,28,44.44,Full Recovery,Strong
BUDAUN,WAZEERGANJ,9191203129,"GOVT. GIRLS INTER COLLEGE,SAIDPUR",71,71,62,78,True,2024-25,62,16,25.81,Full Recovery,Strong
BUDAUN,WAZEERGANJ,9191202502,"GOVT. HIGH SCHOOL, SOHI",61,109,116,115,True,2022-23,61,54,88.52,Full Recovery,Strong
BUDAUN,WAZEERGANJ,9191205310,"GOVT. HS SCHOOL,NAULI HARNATHPUR",34,21,22,50,True,2023-24,21,29,138.1,Strong Recovery,Strong
BULANDSHAHR,ANOOPSHAHAR,9111300603,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE SAURAKH,49,99,141,137,True,2022-23,49,88,179.59,Full Recovery,Strong
BULANDSHAHR,ANOOPSHAHAR,9111306105,RAJKIYA UMV BAGSARA,38,27,42,53,True,2023-24,27,26,96.3,Strong Recovery,Strong
BULANDSHAHR,ANOOPSHAHAR,9111305009,RAJKIYA UMV BIROLI,153,136,145,177,True,2023-24,136,41,30.15,Strong Recovery,Strong
BULANDSHAHR,B.B.NAGAR,9110703906,RAJKIYA HIGH SCH MADONA,43,41,64,71,True,2023-24,41,30,73.17,Strong Recovery,Strong
BULANDSHAHR,BULANDSHAHR,9110106909,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE NAITHALA HASANPUR,172,172,189,185,True,2022-23,172,13,7.56,Full Recovery,Weak
BULANDSHAHR,BULANDSHAHR,9110101704,RAJKIYA H/S DHAMRAWALI,133,142,146,143,True,2022-23,133,10,7.52,Full Recovery,Weak
BULANDSHAHR,BULANDSHAHR,9110105403,RAJKIYA HIGH SCH KAJAMPUR DEVLI,97,92,96,99,True,2023-24,92,7,7.61,Strong Recovery,Weak
BULANDSHAHR,BULANDSHAHR,9110109402,RAJKIYA INTER COLLEGE KHETALPUR BHASAULI,111,137,150,145,True,2022-23,111,34,30.63,Full Recovery,Strong
BULANDSHAHR,BULANDSHAR NAGAR,9112900123,GOVERMENT INTER COLLEGE,503,774,797,725,True,2022-23,503,222,44.14,Full Recovery,Strong
BULANDSHAHR,BULANDSHAR NAGAR,9112900133,GOVT GIRLS INTER COLLEGE,1611,1505,1603,1625,True,2023-24,1505,120,7.97,Strong Recovery,Weak
BULANDSHAHR,DANPUR,9110303603,GOVT HS KANHERA,75,58,65,90,True,2023-24,58,32,55.17,Strong Recovery,Strong
BULANDSHAHR,DANPUR,9110300104,GOVT. GIRLS INTER COLLEGE,27,14,25,44,True,2023-24,14,30,214.29,Strong Recovery,Strong
BULANDSHAHR,DEBAI,9110800506,GOVT. GIRLS INTER COLLEGE BILONA ROOP,36,38,34,36,True,2024-25,34,2,5.88,Full Recovery,Weak
BULANDSHAHR,DEBAI,9110805305,RAJKIYA HIGH SCHOOL SATOHA,171,150,157,167,True,2023-24,150,17,11.33,Strong Recovery,Moderate
