District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
BAGHPAT,BAGPAT,9080104207,G.H.S AHERA,-23.0,-23.21,-22.73,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BAGHPAT,BAGPAT,9080103506,G.H.S FATEHPUR POOTHI,-6.06,-8.57,-3.23,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
BAGHPAT,BAROUT URBAN,9080400107,G.G.I.C BAROUT,-8.33,-8.33,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C11",Girls
BAGHPAT,BINOLY,9080304608,G.G.I.C. DAHA,-10.9,-10.9,,Undetermined,Undetermined,LOW,"C10, C11",Girls
BAGHPAT,KHEKRA,9080602704,G.H.S GONA,-20.18,-44.62,15.91,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
BAGHPAT,PILANA,9080705205,G.H.S BASAUD,-15.83,-33.96,-1.49,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BAHRAICH,BALHA,9501003802,R H SCHOOL PATRAHIYA,-28.16,-3.77,-54.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BAHRAICH,CHITTAURA,9500801802,R H SCHOOL KISHUNPURMAFI CHITTAURA,-41.35,3.12,-61.11,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BAHRAICH,FAKHAR PUR,9500308406,GOVT. HIGH SCHOOL BAUNDI,-22.64,-30.0,-14.71,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BAHRAICH,HUJUR PUR,9500600107,GOVERNMENT G.H.S. SCHOOL,-17.57,-17.57,,"Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Low Enrollment at Board Class Boundary,HIGH,"C9, C10",Girls
BAHRAICH,HUJUR PUR,9500608704,R H S JIGANIYA CHHATER PAL,-24.53,9.09,-48.39,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BAHRAICH,HUJUR PUR,9500608004,R. H. AILIHA,-16.22,-6.45,-23.26,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
BAHRAICH,JARWAL,9500102506,R H S  KURSANDA,-5.17,17.86,-26.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,Boys
BAHRAICH,KAISER GANJ,9500205111,GOV. HIGH SCHOOL LUDIYA NO-4,-17.13,-29.17,-3.53,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BAHRAICH,KAISER GANJ,9500200108,R H SCHOOL BADRAULI,-24.58,-8.89,-40.45,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
BAHRAICH,MAHSI,9500403005,R H SCHOOL NAKAHI,-7.32,7.14,-22.5,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
BAHRAICH,MAHSI,9500401203,RAJKEEY HIGH SCHOOL BAHORIKPUR MAHSI,-13.85,-33.82,8.06,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10",Girls
BAHRAICH,NAGAR AREA,9501301105,RAJKIYA BALIKA INTER COLLAGE ,-9.9,-9.9,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
BAHRAICH,RISIA,9500903803,R H S BHAGTAPUR,-18.06,-17.24,-18.6,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
BAHRAICH,SHIV PUR,9500505306,R.H. SCHOOL INTAHA,-8.05,-22.22,7.14,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
BAHRAICH,VISHESHWAR  GANJ,9501504003,RH SCHOOL SEMRONA,-34.09,-35.48,-33.33,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BALLIA,BALLIA N.P.,9631802003,GGIC BALLIA,-9.1,-9.1,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11",Girls
BALLIA,BALLIA N.P.,9631800503,GIC BALLIA,-29.66,,-29.66,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Boys
BALLIA,BANSDEEH,9630904207,RAJKIYA U M V KEWRA,-14.46,16.67,-38.3,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BALLIA,BELAHARI,9631502903,rajkiy j h s rudrapur,-26.45,-14.52,-38.98,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BALLIA,CHILKAHAR,9630400410,RAJKIY U M VIDYALAY HAJAULI,-20.0,0.0,-40.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C9,Boys
BALLIA,GARWAR,9631103806,RAJKIYA UPS JAGDISHPUR,-11.48,-18.42,0.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,Girls
BALLIA,MURLI CHHAPRA,9631701103,PRABHAVATI DS GGIC J P NAGAR,-40.67,-40.67,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11, C12",Girls
BALLIA,NAGARA,9630205004,RAJKIY U M V TURKI,-28.57,-27.5,-29.55,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BALLIA,NAGARA,9630204904,RAJKIY UPS JUDANPUR,-80.0,-89.47,-68.75,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BALLIA,NAGARA,9630210104,RAJKIYA UPS KHARUAV,-32.71,-47.76,-7.5,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BALLIA,NAVANAGAR,9630504805,RAJKIYA UPS KOTH,-21.84,20.93,-63.64,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
BALLIA,PANDAH,9630608702,PT Deendayal Upadhyay Rajkiya Model Inter College Sudhauli Pandah ballia,-62.89,-47.95,-71.9,Economic/Child Labour,Economic/Child Labour,MEDIUM,"C9, C10","Girls, Boys"
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,-37.04,-62.96,-11.11,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,"Girls, Boys"
BALLIA,RASARA,9630302508,RAJKIY BALIKA INTER COL. RASARA,-19.8,-19.8,,Undetermined,Undetermined,LOW,"C8, C9",Girls
BALLIA,RASARA,9630302403,RAJKIYA UPS ATHILA,-10.0,-8.11,-11.63,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BALLIA,REVATI,9631002204,RAJKIYA U M V RAJULI,-18.84,-33.33,0.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,Girls
BALLIA,SOHAWN,9631200117,G.G.I.C CHITBARAGAON,-23.75,-23.75,,Low Enrollment at Board Class Boundary,Low Enrollment at Board Class Boundary,MEDIUM,"C8, C9, C10, C12",Girls
BALRAMPUR,BALRAMPUR,9522405303,GOVI  SEC SCH MIRZAPUR,-21.91,-1.33,-36.89,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
BALRAMPUR,BALRAMPUR,9522419701,GOVT HIGH SCHOOL MADHWAJOT,-12.24,-21.62,-2.74,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,"Girls, Boys"
