District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
BAHRAICH,MAHSI,9500403005,R H SCHOOL NAKAHI,W4,GIRLS ENROLLMENT DROP,HIGH,-11.8,-10,2025-26
BAHRAICH,MIHIN PURVA,9501110505,R.H. SCHOOL PARGAHWA,W4,GIRLS ENROLLMENT DROP,HIGH,-10.3,-10,2025-26
BAHRAICH,MIHIN PURVA,9501104004,R.H. SCHOOL URRA BAZAR,W1,ENROLLMENT CRASH,CRITICAL,-39.3,-20,2025-26
BAHRAICH,MIHIN PURVA,9501104004,R.H. SCHOOL URRA BAZAR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-45.2,-20,2025-26
BAHRAICH,NAGAR AREA,9501301904,RAJKEEYA INTER COLLEGE,W7,GENDER DESERT,HIGH,0.189,0.2,2025-26
BAHRAICH,PAYAGPUR,9501401502,R HS GANGA PUR,W4,GIRLS ENROLLMENT DROP,HIGH,-11.6,-10,2025-26
BALLIA,BALLIA N.P.,9631802003,GGIC BALLIA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BALLIA,BALLIA N.P.,9631800503,GIC BALLIA,W7,GENDER DESERT,HIGH,0.0,0.2,2025-26
BALLIA,BALLIA N.P.,9631800503,GIC BALLIA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BALLIA,BANSDEEH,9630900117,G G I C BANSDEEH BALLIA,W2,ENROLLMENT DECLINE,HIGH,-11.6,-10,2025-26
BALLIA,BANSDEEH,9630900117,G G I C BANSDEEH BALLIA,W4,GIRLS ENROLLMENT DROP,HIGH,-11.6,-10,2025-26
BALLIA,CHILKAHAR,9630400410,RAJKIY U M VIDYALAY HAJAULI,W1,ENROLLMENT CRASH,CRITICAL,-25.9,-20,2025-26
BALLIA,CHILKAHAR,9630400410,RAJKIY U M VIDYALAY HAJAULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-26.5,-20,2025-26
BALLIA,MURLI CHHAPRA,9631701103,PRABHAVATI DS GGIC J P NAGAR,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BALLIA,MURLI CHHAPRA,9631701403,RAJKIYA U.M.V TOLA FATEH RAI BALLIA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.0,-20,2025-26
BALLIA,NAGARA,9630205004,RAJKIY U M V TURKI,W2,ENROLLMENT DECLINE,HIGH,-15.5,-10,2025-26
BALLIA,NAGARA,9630205004,RAJKIY U M V TURKI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-30.9,-20,2025-26
BALLIA,NAGARA,9630204904,RAJKIY UPS JUDANPUR,W1,ENROLLMENT CRASH,CRITICAL,-22.2,-20,2025-26
BALLIA,NAGARA,9630204904,RAJKIY UPS JUDANPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-50.0,-20,2025-26
BALLIA,NAGARA,9630204904,RAJKIY UPS JUDANPUR,W8,MICRO SCHOOL,HIGH,7,25,2025-26
