school_id,school_name,district,block,School_Type,Class_Range_Label,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Growth_2223_2324,Growth_2324_2425,Growth_2425_2526,Overall_Growth,Trend_Tag
9732500609,RAJKIYA HIGH SCHOOL PEEDHI,AMETHI - CSM NAGAR,BAHADURPUR,Senior_Secondary,9-12,65.0,84.0,118,148,29.23,40.48,25.42,127.69,Consistent Growth
9732704801,GGIC SONARI KALA,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,506.0,509.0,504,460,0.59,-0.98,-8.73,-9.09,Peaked
9732701209,GIC TIKARMAFI,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,648.0,670.0,650,606,3.4,-2.99,-6.77,-6.48,Peaked
9732702403,RAJKIYA HIGH SCHOOL,AMETHI - CSM NAGAR,BHADAR,Senior_Secondary,9-12,31.0,24.0,34,56,-22.58,41.67,64.71,80.65,Recovery
9732706101,RAMABAI AMBEDKAR GGIC,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,136.0,99.0,98,116,-27.21,-1.01,18.37,-14.71,Recovery
9732303305,RAJKIY INTER COLLEGE,AMETHI - CSM NAGAR,BHETUA,Middle_to_Higher,6-12,57.0,99.0,200,224,73.68,102.02,12.0,292.98,Consistent Growth
9731904502,GGIC GAURIGANJ,AMETHI - CSM NAGAR,GAURIGANJ,Middle_to_Higher,6-12,428.0,388.0,407,345,-9.35,4.9,-15.23,-19.39,Volatile
9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,AMETHI - CSM NAGAR,GAURIGANJ,Middle_to_Higher,6-12,67.0,53.0,54,70,-20.9,1.89,29.63,4.48,Recovery
9730100401,GGIC JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,Middle_to_Higher,6-12,223.0,227.0,274,298,1.79,20.7,8.76,33.63,Consistent Growth
9730106203,GOVT H S MANGRAULI JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,Senior_Secondary,9-12,70.0,64.0,63,53,-8.57,-1.56,-15.87,-24.29,Consistent Decline
9730104402,RAJKIY HIGH SCHOOL RANIGANJ,AMETHI - CSM NAGAR,JAGDISHPUR,Senior_Secondary,9-12,62.0,33.0,22,23,-46.77,-33.33,4.55,-62.9,Recovery
9732100101,GGIC JAMO,AMETHI - CSM NAGAR,JAMO,Middle_to_Higher,6-12,351.0,411.0,432,425,17.09,5.11,-1.62,21.08,Peaked
9732100205,RAJKIYE HIGH SCHOOL SARMEN,AMETHI - CSM NAGAR,JAMO,Senior_Secondary,9-12,74.0,73.0,79,70,-1.35,8.22,-11.39,-5.41,Volatile
9732100115,UMA RAMAN INTER COLLEGE,AMETHI - CSM NAGAR,JAMO,Middle_to_Secondary,6-10,196.0,241.0,278,313,22.96,15.35,12.59,59.69,Consistent Growth
9730301001,GGIC MUSAFIRKHANA,AMETHI - CSM NAGAR,MUSAFIRKHANA,Middle_to_Higher,6-12,1116.0,1017.0,918,949,-8.87,-9.73,3.38,-14.96,Recovery
9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,AMETHI - CSM NAGAR,MUSAFIRKHANA,Middle_to_Higher,6-12,33.0,103.0,133,194,212.12,29.13,45.86,487.88,Consistent Growth
9730303904,RAJKIY HIGH SCHOOL KANJAS,AMETHI - CSM NAGAR,MUSAFIRKHANA,Senior_Secondary,9-12,71.0,60.0,43,38,-15.49,-28.33,-11.63,-46.48,Consistent Decline
9730400406,GGIC SANGRAMPUR,AMETHI - CSM NAGAR,SANGRAMPUR,Middle_to_Secondary,6-10,28.0,20.0,29,34,-28.57,45.0,17.24,21.43,Recovery
9732000201,GGIC SHAHGARH,AMETHI - CSM NAGAR,SHAHGARH,Middle_to_Higher,6-12,459.0,444.0,435,410,-3.27,-2.03,-5.75,-10.68,Consistent Decline
9732003204,GOVT HIGH SCHOOL AFUIYA,AMETHI - CSM NAGAR,SHAHGARH,Senior_Secondary,9-12,126.0,127.0,129,129,0.79,1.57,0.0,2.38,Stable
9732002803,RAJKIY HAIGH SCHOOL,AMETHI - CSM NAGAR,SHAHGARH,Senior_Secondary,9-12,72.0,56.0,65,73,-22.22,16.07,12.31,1.39,Recovery
9731800101,GGIC SHUKUL BAZAR,AMETHI - CSM NAGAR,SHUKULBAZAR,Middle_to_Higher,6-12,135.0,126.0,102,111,-6.67,-19.05,8.82,-17.78,Recovery
9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,AMETHI - CSM NAGAR,SINGHPUR,Senior_Secondary,9-12,67.0,75.0,84,64,11.94,12.0,-23.81,-4.48,Peaked
9731700509,RAJKIY HIGH SCHOOL SINGHPUR,AMETHI - CSM NAGAR,SINGHPUR,Senior_Secondary,9-12,63.0,85.0,100,84,34.92,17.65,-16.0,33.33,Peaked
