District,Block,School_ID,School_Name,School_Growth_Tag,Block_Cluster_Type,Is_Outlier,Outlier_Type
AMETHI - CSM NAGAR,SINGHPUR,9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,Peaked,Mixed Block,No,Normal
AMETHI - CSM NAGAR,TILOI,9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,Recovery,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,TILOI,9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,Consistent Growth,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,Consistent Decline,Isolated Decline,No,Normal
AURAIYA,ACHHALDA,9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,Recovery,Mixed Block,No,Normal
AURAIYA,ACHHALDA,9320900115,GOVT. U.M.V. PATA,Peaked,Mixed Block,No,Normal
AURAIYA,AIRWAKATRA,9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,Volatile,Mixed Block,No,Normal
AURAIYA,AIRWAKATRA,9320402003,GOVT. U.M.V. KARMUPUR,Consistent Growth,Mixed Block,No,Normal
AURAIYA,AURAIYA,9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,Volatile,Mixed Block,No,Normal
AURAIYA,AURAIYA,9320103803,GOVT. U.M.V. MAANPUR,Consistent Growth,Mixed Block,No,Normal
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,Peaked,Mixed Block,No,Normal
AURAIYA,BHAGYANAGAR,9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,Recovery,Mixed Block,No,Normal
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,Volatile,Mixed Block,No,Normal
AURAIYA,BHAGYANAGAR,9320602003,GOVT. U.M.V. TURKIPUR,Volatile,Mixed Block,No,Normal
AURAIYA,BIDHUNA,9320500105,GOVT.  GIRLS INTER COLLEGE  BIDHURA,Consistent Growth,Mixed Block,No,Normal
AURAIYA,BIDHUNA,9320500271,GOVT. U.M.V. BHATAULI,Recovery,Mixed Block,No,Normal
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,Volatile,Mixed Block,No,Normal
AURAIYA,SAHAR,9320805603,GOVT. U.M.V. BIJHAI SAHAR,Consistent Growth,Mixed Block,No,Normal
AURAIYA,SAHAR,9320801103,GOVT. U.M.V. LAKHUNO,Consistent Growth,Mixed Block,No,Normal
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,Peaked,Mixed Block,No,Normal
AZAMGARH,AZAMGRAH,9612301305,GOVT B.I.COLLEGE RAIDOPUR,Recovery,Mixed Block,No,Normal
AZAMGARH,AZMATGARH,9611604608,GOVT. GIRLS HR. SECODARY SCHOOL,Volatile,Mixed Block,No,Normal
AZAMGARH,BILARIYAGANJ,9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,Recovery,Mixed Block,No,Normal
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,Peaked,Mixed Block,No,Normal
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,Recovery,Mixed Block,No,Normal
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,Consistent Decline,Mixed Block,No,Normal
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,Consistent Decline,Mixed Block,No,Normal
AZAMGARH,JAHANAGANJ,9612000408,GOVT HSS MITTUPUR,Recovery,Mixed Block,No,Normal
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,Consistent Decline,Mixed Block,No,Normal
AZAMGARH,LALGANJ,9610401511,G.G.I.C. DEVGAON,Recovery,Recovery Cluster,No,Normal
AZAMGARH,LALGANJ,9610400611,G.G.I.C. KATGHAR LALGANJ,Recovery,Recovery Cluster,No,Normal
AZAMGARH,LALGANJ,9610405403,RAJKIYA UMV RASULPUR,Recovery,Recovery Cluster,No,Normal
AZAMGARH,MAHARAJ GANJ,9610104507,"GOVT ABHINAV SCHOOL, TERAHI",Volatile,Mixed Block,No,Normal
AZAMGARH,MIRZAPUR,9611703403,G.G.H.S.S.SARAIMIR,Stable,Mixed Block,No,Normal
AZAMGARH,MOHAMMADPUR,9611800313,G G I C NANDAV,Consistent Growth,Mixed Block,No,Normal
AZAMGARH,MOHAMMADPUR,9611803703,G.U.M.V. KHARATI,Consistent Growth,Mixed Block,No,Normal
AZAMGARH,MOHAMMADPUR,9611801105,GOVT H S S SURJANPUR,Recovery,Mixed Block,No,Normal
AZAMGARH,PALHNA,9612205105,R.UMV DUBHAV,Volatile,Mixed Block,No,Normal
AZAMGARH,PAWAE,9610701108,GOVT. GIRLS H.S. SCHOOL PAWAI,Recovery,Mixed Block,No,Normal
AZAMGARH,PAWAE,9610705504,RAJKIYA U.M.V. SARAIPUL,Recovery,Mixed Block,No,Normal
AZAMGARH,SATHIYAN,9610305907,RAJAKIY INTER COLLAGE JAMURI,Consistent Growth,Isolated Growth,No,Normal
AZAMGARH,TAHBERPUR,9611006403,RAJKIYA U.M.V. RAISINGHPUR,Recovery,Mixed Block,No,Normal
AZAMGARH,TARWA,9610611101,R.B.U.M.V. BARAWANLALGANJ,Volatile,Mixed Block,No,Normal
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,Consistent Decline,Isolated Decline,No,Normal
BAGHPAT,BAGPAT,9080104909,G.G.I.C BAGHPAT,Peaked,Mixed Block,No,Normal
BAGHPAT,BAGPAT,9080104207,G.H.S AHERA,Recovery,Mixed Block,No,Normal
BAGHPAT,BAGPAT,9080103506,G.H.S FATEHPUR POOTHI,Stable,Mixed Block,No,Normal
BAGHPAT,BAGPAT,9080103703,GIC JAHANGARH DAUJHA,Peaked,Mixed Block,No,Normal
BAGHPAT,BAROUT,9080203312,G. G.I.C. BAVLI,Peaked,Mixed Block,No,Normal
BAGHPAT,BAROUT,9080202903,G.H.S CHOBLI,Volatile,Mixed Block,No,Normal
BAGHPAT,BAROUT URBAN,9080400107,G.G.I.C BAROUT,Peaked,Mixed Block,No,Normal
BAGHPAT,BINOLY,9080304608,G.G.I.C. DAHA,Peaked,Mixed Block,No,Normal
BAGHPAT,BINOLY,9080305606,G.H.S GANGNOLI,Consistent Growth,Mixed Block,No,Normal
BAGHPAT,BINOLY,9080302506,G.H.S MAVIKALAN,Peaked,Mixed Block,No,Normal
BAGHPAT,CHHAPROLI,9080501906,G.G.I.C TUGANA,Volatile,Recovery Cluster,No,Normal
BAGHPAT,CHHAPROLI,9080502304,G.H.S BADARKHA,Recovery,Recovery Cluster,No,Normal
BAGHPAT,CHHAPROLI,9080502006,G.H.S BODHA,Recovery,Recovery Cluster,No,Normal
BAGHPAT,CHHAPROLI,9080501109,G.H.S SOOP,Recovery,Recovery Cluster,No,Normal
BAGHPAT,CHHAPROLI,9080502105,"MODAL INTER COLLEGE, TANDA, BAGHPAT",Consistent Growth,Recovery Cluster,No,Normal
BAGHPAT,KHEKRA,9080602704,G.H.S GONA,Recovery,Mixed Block,No,Normal
BAGHPAT,KHEKRA,9080601605,G.H.S MUBARIKPUR,Recovery,Mixed Block,No,Normal
BAGHPAT,KHEKRA,9080602802,G.H.S SUBHANPR,Volatile,Mixed Block,No,Normal
BAGHPAT,PILANA,9080705205,G.H.S BASAUD,Recovery,Mixed Block,No,Normal
BAGHPAT,PILANA,9080700903,G.H.S TIPANI,Recovery,Mixed Block,No,Normal
BAGHPAT,PILANA,9080702405,MODAL INTER COLLEGE (BOYS) MUKARI ,Peaked,Mixed Block,No,Normal
BAHRAICH,BALHA,9501001805,R H S SCHOOL RAJAPUR KALAN,Consistent Growth,Mixed Block,No,Normal
BAHRAICH,BALHA,9501003802,R H SCHOOL PATRAHIYA,Recovery,Mixed Block,No,Normal
BAHRAICH,BALHA,9501002506,R.H. SCHOOL PAKDIYA DIWAN,Recovery,Mixed Block,No,Normal
BAHRAICH,BALHA,9504104925,GOVT GIRLS INTER COLLEGE GURGHUTTA,Stable,Mixed Block,No,Normal
