school_id,school_name,district,block,School_Type,Class_Range_Label,Stability_Mean,Stability_Std,CV_Pct,Stability_Label
9730400406,GGIC SANGRAMPUR,AMETHI - CSM NAGAR,SANGRAMPUR,Middle_to_Secondary,6-10,27.75,5.8,20.9,Volatile
9732000201,GGIC SHAHGARH,AMETHI - CSM NAGAR,SHAHGARH,Middle_to_Higher,6-12,437.0,20.54,4.7,Stable
9732003204,GOVT HIGH SCHOOL AFUIYA,AMETHI - CSM NAGAR,SHAHGARH,Senior_Secondary,9-12,127.75,1.5,1.17,Stable
9732002803,RAJKIY HAIGH SCHOOL,AMETHI - CSM NAGAR,SHAHGARH,Senior_Secondary,9-12,66.5,7.85,11.8,Moderate
9731800101,GGIC SHUKUL BAZAR,AMETHI - CSM NAGAR,SHUKULBAZAR,Middle_to_Higher,6-12,118.5,14.8,12.49,Moderate
9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,AMETHI - CSM NAGAR,SINGHPUR,Senior_Secondary,9-12,72.5,8.96,12.36,Moderate
9731700509,RAJKIY HIGH SCHOOL SINGHPUR,AMETHI - CSM NAGAR,SINGHPUR,Senior_Secondary,9-12,83.0,15.21,18.33,Volatile
9731700807,RAJKIY INTER COLLGE INHAUNA,AMETHI - CSM NAGAR,SINGHPUR,Middle_to_Higher,6-12,167.25,17.91,10.71,Moderate
9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,AMETHI - CSM NAGAR,SINGHPUR,Middle_to_Higher,6-12,635.75,67.15,10.56,Moderate
9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,AMETHI - CSM NAGAR,TILOI,Senior_Secondary,9-12,37.0,8.98,24.27,Volatile
9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,AMETHI - CSM NAGAR,TILOI,Senior_Secondary,9-12,87.75,31.86,36.31,Volatile
9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,AMETHI - CSM NAGAR,TILOI,Senior_Secondary,9-12,101.75,30.03,29.51,Volatile
9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,AURAIYA,ACHHALDA,Senior_Secondary,9-12,66.0,5.16,7.82,Moderate
9320900115,GOVT. U.M.V. PATA,AURAIYA,ACHHALDA,Senior_Secondary,9-12,61.75,9.29,15.04,Volatile
9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,AURAIYA,AIRWAKATRA,Middle_to_Secondary,6-10,15.75,2.63,16.7,Volatile
9320402003,GOVT. U.M.V. KARMUPUR,AURAIYA,AIRWAKATRA,Senior_Secondary,9-12,32.25,10.87,33.71,Volatile
9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,AURAIYA,AURAIYA,Middle_to_Higher,6-12,167.0,16.06,9.62,Moderate
9320103803,GOVT. U.M.V. MAANPUR,AURAIYA,AURAIYA,Senior_Secondary,9-12,73.75,20.29,27.51,Volatile
9320107404,GOVT. U.M.V. NASIRABAD,AURAIYA,AURAIYA,Senior_Secondary,9-12,62.25,4.99,8.02,Moderate
9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,AURAIYA,BHAGYANAGAR,Full_School,1-12,114.5,15.8,13.8,Moderate
9320608206,GOVT. U.M.V. JUA,AURAIYA,BHAGYANAGAR,Senior_Secondary,9-12,39.5,9.11,23.06,Volatile
9320602003,GOVT. U.M.V. TURKIPUR,AURAIYA,BHAGYANAGAR,Senior_Secondary,9-12,25.25,4.99,19.76,Volatile
9320500105,GOVT.  GIRLS INTER COLLEGE  BIDHURA,AURAIYA,BIDHUNA,Full_School,1-12,229.75,57.21,24.9,Volatile
9320500271,GOVT. U.M.V. BHATAULI,AURAIYA,BIDHUNA,Senior_Secondary,9-12,46.25,16.68,36.06,Volatile
9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,AURAIYA,SAHAR,Full_School,1-12,19.25,6.65,34.55,Volatile
9320805603,GOVT. U.M.V. BIJHAI SAHAR,AURAIYA,SAHAR,Senior_Secondary,9-12,112.25,26.68,23.77,Volatile
9320801103,GOVT. U.M.V. LAKHUNO,AURAIYA,SAHAR,Senior_Secondary,9-12,42.5,14.73,34.66,Volatile
9611201913,GOVT GIRLS INTER COLLEGE,AZAMGARH,ATRAULIYA,Middle_to_Secondary,6-10,362.5,79.27,21.87,Volatile
9612301305,GOVT B.I.COLLEGE RAIDOPUR,AZAMGARH,AZAMGRAH,Full_School,1-12,876.5,147.52,16.83,Volatile
9611604608,GOVT. GIRLS HR. SECODARY SCHOOL,AZAMGARH,AZMATGARH,Middle_to_Higher,6-12,645.25,21.91,3.4,Stable
9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,AZAMGARH,BILARIYAGANJ,Middle_to_Secondary,6-10,166.75,20.71,12.42,Moderate
9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,AZAMGARH,FOOLPOOR,Senior_Secondary,9-12,73.0,7.39,10.12,Moderate
9611410802,G.B.U.M.V. PIHAR,AZAMGARH,HARRAIYA,Senior_Secondary,9-12,47.75,20.34,42.6,Volatile
9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,AZAMGARH,HARRAIYA,Middle_to_Higher,6-12,260.75,52.54,20.15,Volatile
9611400703,R.U.M.V. ETAILY,AZAMGARH,HARRAIYA,Senior_Secondary,9-12,73.0,72.89,99.85,Volatile
9612000408,GOVT HSS MITTUPUR,AZAMGARH,JAHANAGANJ,Senior_Secondary,9-12,131.75,27.06,20.54,Volatile
9612014707,RAJKIYA U.M.V. KANAILA,AZAMGARH,JAHANAGANJ,Senior_Secondary,9-12,130.5,18.23,13.97,Moderate
9610401511,G.G.I.C. DEVGAON,AZAMGARH,LALGANJ,Senior_Secondary,9-12,140.25,14.97,10.67,Moderate
9610400611,G.G.I.C. KATGHAR LALGANJ,AZAMGARH,LALGANJ,Middle_to_Secondary,6-10,197.25,11.24,5.7,Moderate
9610405403,RAJKIYA UMV RASULPUR,AZAMGARH,LALGANJ,Senior_Secondary,9-12,117.0,6.98,5.97,Moderate
9610104507,"GOVT ABHINAV SCHOOL, TERAHI",AZAMGARH,MAHARAJ GANJ,Middle_to_Higher,6-12,39.5,8.35,21.14,Volatile
9611703403,G.G.H.S.S.SARAIMIR,AZAMGARH,MIRZAPUR,Full_School,1-12,442.75,4.57,1.03,Stable
9611800313,G G I C NANDAV,AZAMGARH,MOHAMMADPUR,Secondary_Only,9-10,51.0,21.62,42.39,Volatile
9611803703,G.U.M.V. KHARATI,AZAMGARH,MOHAMMADPUR,Senior_Secondary,9-12,45.5,22.17,48.73,Volatile
9611801105,GOVT H S S SURJANPUR,AZAMGARH,MOHAMMADPUR,Senior_Secondary,9-12,70.75,20.42,28.86,Volatile
9612205105,R.UMV DUBHAV,AZAMGARH,PALHNA,Senior_Secondary,9-12,66.5,16.9,25.41,Volatile
