District,Block,School_ID,School_Name,Girls_C8,Girls_C9,Girls_C10,Girls_C11,Girls_C12,Cont_C8_C9_pct,Cont_C9_C10_pct,Cont_C10_C11_pct,Cont_C11_C12_pct,Girls_Progression_pct,Weakest_Step,C10_C11_Trend,Ladder_Tag
AMETHI - CSM NAGAR,SINGHPUR,9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,32,66,72,43,40,206.2,109.1,59.7,93.0,125.0,C10-C11,More Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,TILOI,9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,0,8,7,0,0,800000.0,87.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,TILOI,9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,0,37,23,0,0,3700000.0,62.2,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,0,17,9,0,0,1700000.0,52.9,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,ACHHALDA,9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,0,21,23,0,0,2100000.0,109.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,ACHHALDA,9320900115,GOVT. U.M.V. PATA,0,19,9,0,0,1900000.0,47.4,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,AIRWAKATRA,9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,0,8,8,2,0,800000.0,100.0,25.0,0.0,0.0,C11-C12,More Girls Enrolling in C11,Collapsed Enrollment
AURAIYA,AIRWAKATRA,9320402003,GOVT. U.M.V. KARMUPUR,0,6,10,0,0,600000.0,166.6,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,AURAIYA,9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,6,30,16,24,11,499.9,53.3,150.0,45.8,183.3,C11-C12,More Girls Enrolling in C11,Multiple Enrollment Gaps
AURAIYA,AURAIYA,9320103803,GOVT. U.M.V. MAANPUR,0,26,28,0,0,2600000.0,107.7,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,0,10,14,0,0,1000000.0,140.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,BHAGYANAGAR,9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,16,22,23,28,19,137.5,104.5,121.7,67.9,118.7,C11-C12,More Girls Enrolling in C11,Class 11-12 Enrollment Gap
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,0,11,9,0,0,1100000.0,81.8,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,BHAGYANAGAR,9320602003,GOVT. U.M.V. TURKIPUR,0,4,8,0,0,400000.0,200.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,BIDHUNA,9320500105,GOVT.  GIRLS INTER COLLEGE  BIDHURA,13,82,83,55,60,630.7,101.2,66.3,109.1,461.5,C10-C11,More Girls Enrolling in C11,Class 10-11 Enrollment Gap
AURAIYA,BIDHUNA,9320500271,GOVT. U.M.V. BHATAULI,0,23,21,0,0,2300000.0,91.3,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,2,1,4,1,6,50.0,399.6,25.0,599.4,299.9,C10-C11,Fewer Girls Enrolling in C11,Multiple Enrollment Gaps
AURAIYA,SAHAR,9320805603,GOVT. U.M.V. BIJHAI SAHAR,0,30,38,0,0,3000000.0,126.7,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AURAIYA,SAHAR,9320801103,GOVT. U.M.V. LAKHUNO,0,17,21,0,0,1700000.0,123.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,0,79,63,54,71,7900000.0,79.7,85.7,131.5,7100000.0,C9-C10,Fewer Girls Enrolling in C11,Moderate Enrollment
AZAMGARH,AZAMGRAH,9612301305,GOVT B.I.COLLEGE RAIDOPUR,54,158,170,186,206,292.6,107.6,109.4,110.8,381.5,C9-C10,Stable,Strong Enrollment
AZAMGARH,AZMATGARH,9611604608,GOVT. GIRLS HR. SECODARY SCHOOL,56,170,145,133,155,303.6,85.3,91.7,116.5,276.8,C9-C10,More Girls Enrolling in C11,Strong Enrollment
AZAMGARH,BILARIYAGANJ,9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,0,67,33,33,45,6700000.0,49.3,100.0,136.4,4500000.0,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,0,12,15,0,0,1200000.0,125.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,0,12,4,0,0,1200000.0,33.3,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,5,32,20,34,27,639.9,62.5,170.0,79.4,539.9,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,0,5,6,0,0,500000.0,120.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AZAMGARH,JAHANAGANJ,9612000408,GOVT HSS MITTUPUR,0,49,49,0,0,4900000.0,100.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
