District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
AMETHI - CSM NAGAR,JAMO,9732100101,GGIC JAMO,351,411,432,425,True,2022-23,351,74,21.08,Full Recovery,Strong
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,74,73,79,70,True,2025-26,70,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,JAMO,9732100115,UMA RAMAN INTER COLLEGE,196,241,278,313,False,2022-23,196,117,59.69,No Recovery Needed,Strong
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730301001,GGIC MUSAFIRKHANA,1116,1017,918,949,True,2024-25,918,31,3.38,Late Recovery,Weak
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,33,103,133,194,False,2022-23,33,161,487.88,No Recovery Needed,Strong
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,71,60,43,38,True,2025-26,38,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,SANGRAMPUR,9730400406,GGIC SANGRAMPUR,28,20,29,34,True,2023-24,20,14,70.0,Strong Recovery,Strong
AMETHI - CSM NAGAR,SHAHGARH,9732000201,GGIC SHAHGARH,459,444,435,410,True,2025-26,410,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,SHAHGARH,9732003204,GOVT HIGH SCHOOL AFUIYA,126,127,129,129,False,2022-23,126,3,2.38,No Recovery Needed,Weak
AMETHI - CSM NAGAR,SHAHGARH,9732002803,RAJKIY HAIGH SCHOOL,72,56,65,73,True,2023-24,56,17,30.36,Strong Recovery,Strong
AMETHI - CSM NAGAR,SHUKULBAZAR,9731800101,GGIC SHUKUL BAZAR,135,126,102,111,True,2024-25,102,9,8.82,Late Recovery,Weak
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,67,75,84,64,True,2025-26,64,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,63,85,100,84,True,2022-23,63,21,33.33,Full Recovery,Strong
AMETHI - CSM NAGAR,SINGHPUR,9731700807,RAJKIY INTER COLLGE INHAUNA,182,183,148,156,True,2024-25,148,8,5.41,Partial Recovery,Weak
AMETHI - CSM NAGAR,SINGHPUR,9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,547,639,710,647,True,2022-23,547,100,18.28,Full Recovery,Moderate
AMETHI - CSM NAGAR,TILOI,9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,43,24,38,43,True,2023-24,24,19,79.17,Strong Recovery,Strong
AMETHI - CSM NAGAR,TILOI,9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,60,62,105,124,False,2022-23,60,64,106.67,No Recovery Needed,Strong
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,138,109,94,66,True,2025-26,66,0,0.0,Still Declining,No Recovery
AURAIYA,ACHHALDA,9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,72,60,64,68,True,2023-24,60,8,13.33,Strong Recovery,Moderate
AURAIYA,ACHHALDA,9320900115,GOVT. U.M.V. PATA,69,70,57,51,True,2025-26,51,0,0.0,Still Declining,No Recovery
AURAIYA,AIRWAKATRA,9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,14,13,18,18,True,2023-24,13,5,38.46,Full Recovery,Strong
AURAIYA,AIRWAKATRA,9320402003,GOVT. U.M.V. KARMUPUR,21,25,40,43,False,2022-23,21,22,104.76,No Recovery Needed,Strong
AURAIYA,AURAIYA,9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,149,182,158,179,True,2022-23,149,30,20.13,Full Recovery,Strong
AURAIYA,AURAIYA,9320103803,GOVT. U.M.V. MAANPUR,53,66,75,101,False,2022-23,53,48,90.57,No Recovery Needed,Strong
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,62,69,61,57,True,2025-26,57,0,0.0,Still Declining,No Recovery
AURAIYA,BHAGYANAGAR,9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,138,104,107,109,True,2023-24,104,5,4.81,Strong Recovery,Weak
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,53,37,34,34,True,2024-25,34,0,0.0,Volatile,No Recovery
AURAIYA,BHAGYANAGAR,9320602003,GOVT. U.M.V. TURKIPUR,20,32,24,25,True,2022-23,20,5,25.0,Full Recovery,Strong
AURAIYA,BIDHUNA,9320500105,GOVT.  GIRLS INTER COLLEGE  BIDHURA,165,202,259,293,False,2022-23,165,128,77.58,No Recovery Needed,Strong
AURAIYA,BIDHUNA,9320500271,GOVT. U.M.V. BHATAULI,38,35,41,71,True,2023-24,35,36,102.86,Strong Recovery,Strong
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,29,17,17,14,True,2025-26,14,0,0.0,Still Declining,No Recovery
AURAIYA,SAHAR,9320805603,GOVT. U.M.V. BIJHAI SAHAR,82,99,127,141,False,2022-23,82,59,71.95,No Recovery Needed,Strong
AURAIYA,SAHAR,9320801103,GOVT. U.M.V. LAKHUNO,27,33,53,57,False,2022-23,27,30,111.11,No Recovery Needed,Strong
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,411,442,330,267,True,2025-26,267,0,0.0,Still Declining,No Recovery
AZAMGARH,AZAMGRAH,9612301305,GOVT B.I.COLLEGE RAIDOPUR,1011,995,726,774,True,2024-25,726,48,6.61,Late Recovery,Weak
AZAMGARH,AZMATGARH,9611604608,GOVT. GIRLS HR. SECODARY SCHOOL,613,650,659,659,False,2022-23,613,46,7.5,No Recovery Needed,Weak
AZAMGARH,BILARIYAGANJ,9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,190,146,153,178,True,2023-24,146,32,21.92,Strong Recovery,Strong
